species,vernacularName_fr
Accipiter bicolor,Epervier bicolore
Sparvius bicolor,
Accipiter cooperii,Épervier de Cooper
Falco cooperii,
Accipiter efficax,
Accipiter fasciatus,Autour australien
Astur fasciatus,
Accipiter francesiae,Épervier de Mayotte
Accipiter francesii,
Nisus brutus,
Accipiter gentilis,Autour des palombes
Astur palumbarius,
Falco gentilis,
Falco palumbarius,
Accipiter haplochrous,"Autour à ventre blanc, Émouchet bleu, Épervier à ventre blanc, Buse blanche, Buse"
Accipiter nisus,Épervier d'Europe
Accipiter wolterstorffi,
Falco nisus,
Astur nisus,
Accipiter poliogaster,Autour à ventre gris
Falco poliogaster,
Accipiter quartus,
Accipiter striatus,Épervier brun
Accipiter superciliosus,Epervier nain
Falco superciliosus,
Nisus malfini,
Accipiter ventralis,Épervier à gorge rayée
Aegypius monachus,Vautour moine
Vultur monachus,
Aquila adalberti,Aigle ibérique
Aquila chrysaetos,Aigle royal
Aquila fulva,
Falco chrysaetos,
Falco fulvus,
Aquila fasciata,Aigle de Bonelli
Hieraaetus fasciatus,
Aquila heliaca,Aigle impérial
Aquila nipalensis,Aigle des steppes
Circaëtus nipalensis,
Busarellus nigricollis,Buse à tête blanche
Falco nigricollis,
Buteogallus aequinoctialis,Buse buson
Buteogallus carthartoides,
Falco aequinoctialis,
Buteogallus anthracinus,Buse noire
Buteogallus meridionalis,Buse roussâtre
Falco meridionalis,
Heterospizias meridionalis,
Buteogallus schistaceus,Buse ardoisée
Asturina schistacea,
Leucopternis schistacea,
Leucopternis schistaceus,Buse ardoisée
Buteogallus solitarius,Buse solitaire
Circaëtus solitarius,
Harpyhaliaetus solitarius,
Buteogallus urubitinga,Buse urubu
Falco urubitinga,
Buteo albonotatus,Buse à queue barrée
Buteo brachyurus,Buse à queue courte
Buteo buteo,Buse variable
Falco buteo,
Falco vulgaris,
Buteo vulgaris,
Falco vulpinus,
Buteo jamaicensis,Buse à queue rousse
Falco jamaicensis,
Buteo lagopus,Buse pattue
Falco lagopus,
Buteo nitidus,Buse cendrée
Asturina cinerea,
Asturina nitida,Buse cendrée
Falco nitidus,
Buteo platypterus,Petite Buse
Sparvius platypterus,
Buteo rufinus,Buse féroce
Buteo ferox,
Falco rufinus,
Falco cirtensis,
Buteo swainsoni,Buse de Swainson
Chondrohierax uncinatus,"Milan bec-en-croc, Bec-en-croc de Temminck"
Falco uncinatus,
Circaetus gallicus,Circaète Jean-le-Blanc
Accipiter ferox,
Circaetus ferox,
Falco gallicus,
Circus aeruginosus,Busard des roseaux
Falco aeruginosus,
Circus approximans,Busard de Gould
Circus buffoni,Busard de Buffon
Falco buffoni,
Circus cyaneus,Busard Saint-Martin
Falco cyaneus,
Circus hudsonius,"Busard d'Amérique, Busard des marais"
Falco hudsonius,
Circus macrosceles,Busard de Madagascar
Circus macrourus,Busard pâle
Accipiter macrourus,
Circus maillardi,Busard de Maillard
Circus pygargus,Busard cendré
Circus ater,
Falco pygargus,
Clanga clanga,Aigle criard
Aquila clanga,
Clanga pomarina,Aigle pomarin
Aquila pomarina,
Elanoides forficatus,"Milan à queue fourchue, Naucler à queue fourchue"
Falco forficatus,
Milvus yetapa,
Elanus caeruleus,Élanion blanc
Falco caeruleus,
Elanus leucurus,Elanion à queue blanche
Milvus leucurus,
Gampsonyx swainsonii,Elanion perle
Geranoaetus albicaudatus,Buse à queue blanche
