class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.71889,6.2524,25.0,2.0,2011-07-14,7.0,2011,2473682.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E095N640
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.98301,6.45821,25.0,1994.0,2014-04-25,4.0,2014,2473682.0,CORAIL Marc,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Ecrins,"Parc national, zone cœur",pn,II,10kmL93E097N643
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67204,6.31283,25.0,3.0,2012-05-16,5.0,2012,2473682.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,True,Ecrins [Aire D'Adhésion],"Parc national, aire d'adhésion",pn,V,10kmL93E096N640
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.76387,6.255,25.0,30.0,2005-07-19,7.0,2005,5227679.0,CORAIL Marc,18,18.0,Prairies naturelles,Natural grasslands and pastures,Lagopède alpin,True,Ecrins,"Parc national, zone cœur",pn,II,10kmL93E095N641
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.62894,6.24721,25.0,1734.0,1996-01-05,1.0,1996,2474055.0,CORAIL Marc,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Ecrins [Aire D'Adhésion],"Parc national, aire d'adhésion",pn,V,10kmL93E095N639
Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia,"Bonasa bonasia (Linnaeus, 1758)",44.58396,6.24462,25.0,1581.0,2000-09-15,9.0,2000,2473663.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,,False,,,,,10kmL93E095N639
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.66819,6.43887,25.0,2157.0,2007-01-25,1.0,2007,5227679.0,CORAIL Marc,18,18.0,Prairies naturelles,Natural grasslands and pastures,Lagopède alpin,True,Ecrins,"Parc national, zone cœur",pn,II,10kmL93E097N640
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.71889,6.2524,25.0,1732.0,2002-02-15,2.0,2002,2474055.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,Perdrix bartavelle,False,,,,,10kmL93E095N640
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.71889,6.2524,25.0,1841.0,2010-02-06,2.0,2010,2473682.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E095N640
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.71889,6.2524,25.0,1589.0,2000-01-05,1.0,2000,2473682.0,CORAIL Marc,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E095N640
